WINE,BODY,PH,ABV,WINE_CLASS,TANNIN,FAT,PROTEIN,CALORIES,SODIUM,CARBS,PROTEIN_main
1,5,3,4,5,4,2,1.5,2.32,0.64,2.5,1
1,5,3,4,5,4,0.9,4.3,2.97,6,10,1
2,5,3,4,5,3,3,2,4.18,5.8,7,1
2,5,3,4,5,3,2.7,2.1,3.34,0.75,3,1
3,5,2,3.5,5,2,3,2,4.18,5.8,7,1
4,4,3,4,5,4,2.2,3.1,4.37,6.9,9,1
5,3,4,3,4,2,8.4,7,10.38,10.75,6,3
7,2,2,3,3,0,0.45,1.7,4.17,0.37,45,7
8,3,3,4,4,0,0.9,2.9,3.17,3.63,16,3
9,2,5,3,3,0,0.8,2.3,2.15,8.37,10,5
10,1,5,1,3,0,3.1,0.8,3.87,5.95,16.5,9
11,3,1,4,4,0,2.2,1.5,3.24,8.15,11.5,3
11,3,1,4,4,0,2.7,4.1,6.75,14.46,40,8
6,5,3,4,5,2,3.6,3,5.14,34.09,2,1
